N,kappa,r_fixed,D_mean,D_std,D_sem,trials,omega,T,dt,late_fraction
20,0.0,2.0,0.30951205120398234,0.08465541982072723,0.011972084283886058,50,0.5,1000.0,0.01,0.3
20,0.06060606060606061,2.0,0.3096169513377092,0.08516828451355593,0.012044614304312123,50,0.5,1000.0,0.01,0.3
20,0.12121212121212122,2.0,0.3096225916066645,0.0856735297868255,0.012116066776090397,50,0.5,1000.0,0.01,0.3
20,0.18181818181818182,2.0,0.3097814556827713,0.08595479982991316,0.01215584436705278,50,0.5,1000.0,0.01,0.3
20,0.24242424242424243,2.0,0.3102613116573521,0.08650326232249825,0.012233408676599458,50,0.5,1000.0,0.01,0.3
20,0.30303030303030304,2.0,0.3112631178999116,0.08746190608320875,0.012368981377387572,50,0.5,1000.0,0.01,0.3
20,0.36363636363636365,2.0,0.31227364718903394,0.08842547861427104,0.012505251111563417,50,0.5,1000.0,0.01,0.3
20,0.42424242424242425,2.0,0.3137736199199805,0.08980192491778705,0.012699910014594482,50,0.5,1000.0,0.01,0.3
20,0.48484848484848486,2.0,0.3155604073103271,0.09111305584981404,0.012885331929206427,50,0.5,1000.0,0.01,0.3
20,0.5454545454545454,2.0,0.3182565613684998,0.09279102422753331,0.013122632492906804,50,0.5,1000.0,0.01,0.3
20,0.6060606060606061,2.0,0.320994774913122,0.09528409009667278,0.013475205249309456,50,0.5,1000.0,0.01,0.3
20,0.6666666666666667,2.0,0.323587737627143,0.09719715026019037,0.01374575281219768,50,0.5,1000.0,0.01,0.3
20,0.7272727272727273,2.0,0.3258353856106513,0.09831508923265189,0.013903853257873735,50,0.5,1000.0,0.01,0.3
20,0.7878787878787878,2.0,0.3297192478020041,0.1006152158527925,0.014229140284011559,50,0.5,1000.0,0.01,0.3
20,0.8484848484848485,2.0,0.3346052899785793,0.10319513004988322,0.014593995248740017,50,0.5,1000.0,0.01,0.3
20,0.9090909090909092,2.0,0.33999886743887486,0.10680661898657053,0.015104736912202375,50,0.5,1000.0,0.01,0.3
20,0.9696969696969697,2.0,0.34702393080573307,0.11063308318569033,0.015645880668835408,50,0.5,1000.0,0.01,0.3
20,1.0303030303030303,2.0,0.3511479505182967,0.11172787496975173,0.015800707607734835,50,0.5,1000.0,0.01,0.3
20,1.0909090909090908,2.0,0.35758281318111945,0.11376013021092246,0.01608811190016158,50,0.5,1000.0,0.01,0.3
20,1.1515151515151516,2.0,0.3650663803424355,0.1143528831821155,0.016171939829261395,50,0.5,1000.0,0.01,0.3
20,1.2121212121212122,2.0,0.3733128279856493,0.11698941823459433,0.016544802192150158,50,0.5,1000.0,0.01,0.3
20,1.2727272727272727,2.0,0.3823110820615363,0.11948163013504091,0.016897254179142077,50,0.5,1000.0,0.01,0.3
20,1.3333333333333335,2.0,0.3892314632828879,0.11838415689081222,0.01674204802450909,50,0.5,1000.0,0.01,0.3
20,1.393939393939394,2.0,0.39987342193630726,0.12113618095855444,0.017131243000566915,50,0.5,1000.0,0.01,0.3
20,1.4545454545454546,2.0,0.40642468383312624,0.12263726956952148,0.017343528987762254,50,0.5,1000.0,0.01,0.3
20,1.5151515151515151,2.0,0.41295966231774967,0.12544275310682515,0.01774028427450918,50,0.5,1000.0,0.01,0.3
20,1.5757575757575757,2.0,0.42192664569846366,0.13137490638357094,0.01857921743631417,50,0.5,1000.0,0.01,0.3
20,1.6363636363636365,2.0,0.4273581405266983,0.13361102036536948,0.018895451708321333,50,0.5,1000.0,0.01,0.3
20,1.696969696969697,2.0,0.43570629367148755,0.13802708344677836,0.01951997733852369,50,0.5,1000.0,0.01,0.3
20,1.7575757575757576,2.0,0.44537553574797656,0.14230369088861566,0.02012478096304289,50,0.5,1000.0,0.01,0.3
20,1.8181818181818183,2.0,0.4490114203820594,0.1458902515735731,0.020631997239336983,50,0.5,1000.0,0.01,0.3
20,1.878787878787879,2.0,0.45332908057075394,0.14783706221656792,0.02090731784080654,50,0.5,1000.0,0.01,0.3
20,1.9393939393939394,2.0,0.4616488091018596,0.14998475540057113,0.0212110475236699,50,0.5,1000.0,0.01,0.3
20,2.0,2.0,0.4695123877090834,0.15347849799829805,0.0217051373401845,50,0.5,1000.0,0.01,0.3
20,2.0606060606060606,2.0,0.4784942313692403,0.15504052388844763,0.021926041160047247,50,0.5,1000.0,0.01,0.3
20,2.121212121212121,2.0,0.4833533984078805,0.15825262713825167,0.022380301158008802,50,0.5,1000.0,0.01,0.3
20,2.1818181818181817,2.0,0.4861182491353481,0.15943560914041024,0.022547600077158395,50,0.5,1000.0,0.01,0.3
20,2.2424242424242427,2.0,0.4908122489844991,0.1588615510096999,0.022466415997754285,50,0.5,1000.0,0.01,0.3
20,2.303030303030303,2.0,0.4999134261437495,0.16761398558362592,0.02370419716557722,50,0.5,1000.0,0.01,0.3
20,2.3636363636363638,2.0,0.5045566276294822,0.17381539202092822,0.024581208474519292,50,0.5,1000.0,0.01,0.3
20,2.4242424242424243,2.0,0.5136665549986361,0.18022905761333274,0.025488237761049706,50,0.5,1000.0,0.01,0.3
20,2.484848484848485,2.0,0.519065895218214,0.18676481524002328,0.026412533468654624,50,0.5,1000.0,0.01,0.3
20,2.5454545454545454,2.0,0.523105335342541,0.1942973398518484,0.027477793315149848,50,0.5,1000.0,0.01,0.3
20,2.606060606060606,2.0,0.525591374871387,0.2021869253144518,0.028593549191421375,50,0.5,1000.0,0.01,0.3
20,2.666666666666667,2.0,0.5355053102899608,0.20263503420153023,0.028656921357974,50,0.5,1000.0,0.01,0.3
20,2.7272727272727275,2.0,0.5418030742256396,0.20449855949886012,0.02892046363290493,50,0.5,1000.0,0.01,0.3
20,2.787878787878788,2.0,0.5513267319738554,0.20458248182384772,0.028932332041923265,50,0.5,1000.0,0.01,0.3
20,2.8484848484848486,2.0,0.5586176749281967,0.20402166518499426,0.028853020592256157,50,0.5,1000.0,0.01,0.3
20,2.909090909090909,2.0,0.5663285477691439,0.20225893953583376,0.02860373354027759,50,0.5,1000.0,0.01,0.3
20,2.9696969696969697,2.0,0.5734636807105002,0.2025343111322873,0.02864267696491728,50,0.5,1000.0,0.01,0.3
20,3.0303030303030303,2.0,0.5801206754806033,0.20476239492074738,0.028957775596091667,50,0.5,1000.0,0.01,0.3
20,3.090909090909091,2.0,0.5923114820830783,0.20252028410254133,0.028640693243346626,50,0.5,1000.0,0.01,0.3
20,3.1515151515151514,2.0,0.6010380962318221,0.2028400480757184,0.028685914698109157,50,0.5,1000.0,0.01,0.3
20,3.2121212121212124,2.0,0.6069595521409218,0.20370413623495892,0.028808115217497553,50,0.5,1000.0,0.01,0.3
20,3.272727272727273,2.0,0.6150117429614086,0.20669736548328688,0.029231421757325272,50,0.5,1000.0,0.01,0.3
20,3.3333333333333335,2.0,0.623233988311668,0.2073552426505392,0.029324459638555657,50,0.5,1000.0,0.01,0.3
20,3.393939393939394,2.0,0.6295373164510216,0.2087538330643707,0.029522250191700208,50,0.5,1000.0,0.01,0.3
20,3.4545454545454546,2.0,0.6354462647547701,0.21116648791319684,0.02986345111255372,50,0.5,1000.0,0.01,0.3
20,3.515151515151515,2.0,0.6411423828365145,0.21191385205911367,0.029969144363672418,50,0.5,1000.0,0.01,0.3
20,3.5757575757575757,2.0,0.6493489366177815,0.21293838660210052,0.03011403542825359,50,0.5,1000.0,0.01,0.3
20,3.6363636363636367,2.0,0.654703044927954,0.21493443666951162,0.03039631953590444,50,0.5,1000.0,0.01,0.3
20,3.6969696969696972,2.0,0.6599098040059507,0.21751646963158014,0.03076147413924961,50,0.5,1000.0,0.01,0.3
20,3.757575757575758,2.0,0.6665682758724296,0.21884673732211657,0.030949602400203943,50,0.5,1000.0,0.01,0.3
20,3.8181818181818183,2.0,0.6706805979673212,0.22181886560564376,0.03136992481297163,50,0.5,1000.0,0.01,0.3
20,3.878787878787879,2.0,0.6732782212294584,0.22477163613305148,0.03178750962561518,50,0.5,1000.0,0.01,0.3
20,3.9393939393939394,2.0,0.6790198276845402,0.22499410732424532,0.031818971803197545,50,0.5,1000.0,0.01,0.3
20,4.0,2.0,0.6833484344741393,0.22606358946661084,0.03197021941824246,50,0.5,1000.0,0.01,0.3
20,4.0606060606060606,2.0,0.6885128843271024,0.22784700920963688,0.032222433057041595,50,0.5,1000.0,0.01,0.3
20,4.121212121212121,2.0,0.6918171067622673,0.2289133341883316,0.03237323418171832,50,0.5,1000.0,0.01,0.3
20,4.181818181818182,2.0,0.6952829598708063,0.2301984203337589,0.03255497280728643,50,0.5,1000.0,0.01,0.3
20,4.242424242424242,2.0,0.6989629094315696,0.2318369456297651,0.03278669527687676,50,0.5,1000.0,0.01,0.3
20,4.303030303030303,2.0,0.7033671258538654,0.23172311537107299,0.032770597247311684,50,0.5,1000.0,0.01,0.3
20,4.363636363636363,2.0,0.7065596744539429,0.2338578235945338,0.03307249057944445,50,0.5,1000.0,0.01,0.3
20,4.424242424242425,2.0,0.7111789662335053,0.23180691897954514,0.03278244886727939,50,0.5,1000.0,0.01,0.3
20,4.484848484848485,2.0,0.7149700095737834,0.23383460697622635,0.03306920725379616,50,0.5,1000.0,0.01,0.3
20,4.545454545454546,2.0,0.718281541927504,0.23160047280348603,0.032753252969071105,50,0.5,1000.0,0.01,0.3
20,4.606060606060606,2.0,0.7204647698850501,0.23509659065410093,0.033247678697070536,50,0.5,1000.0,0.01,0.3
20,4.666666666666667,2.0,0.7234417088923327,0.2369250713888861,0.03350626492243765,50,0.5,1000.0,0.01,0.3
20,4.7272727272727275,2.0,0.7274448671059937,0.23555464861829303,0.033312457875601886,50,0.5,1000.0,0.01,0.3
20,4.787878787878788,2.0,0.7311711019061726,0.23465467148692493,0.033185181889101245,50,0.5,1000.0,0.01,0.3
20,4.848484848484849,2.0,0.7337998090411777,0.2349134783116785,0.03322178270126137,50,0.5,1000.0,0.01,0.3
20,4.909090909090909,2.0,0.735612568551971,0.23640263648576365,0.03343238146989236,50,0.5,1000.0,0.01,0.3
20,4.96969696969697,2.0,0.7396829089776267,0.23493008505000323,0.033224131248717925,50,0.5,1000.0,0.01,0.3
20,5.03030303030303,2.0,0.7427327269663533,0.23520610173603038,0.03326316590280001,50,0.5,1000.0,0.01,0.3
20,5.090909090909091,2.0,0.74596716029514,0.23390059587843126,0.033078539493842596,50,0.5,1000.0,0.01,0.3
20,5.151515151515151,2.0,0.748649796626298,0.23379602777136338,0.03306375133032188,50,0.5,1000.0,0.01,0.3
20,5.212121212121212,2.0,0.751883875969585,0.23197392361827257,0.03280606688978615,50,0.5,1000.0,0.01,0.3
20,5.2727272727272725,2.0,0.7553615695990392,0.2295825711904065,0.032467878586195945,50,0.5,1000.0,0.01,0.3
20,5.333333333333334,2.0,0.7582954891543318,0.22599957365174816,0.03196116621488394,50,0.5,1000.0,0.01,0.3
20,5.3939393939393945,2.0,0.7612020195084689,0.225242748925591,0.03185413503567687,50,0.5,1000.0,0.01,0.3
20,5.454545454545455,2.0,0.7654324285390386,0.22045853028637324,0.031177544347182878,50,0.5,1000.0,0.01,0.3
20,5.515151515151516,2.0,0.7667308953527447,0.2203599863874463,0.031163608135347715,50,0.5,1000.0,0.01,0.3
20,5.575757575757576,2.0,0.7699505209308952,0.2168584927307823,0.03066842215356596,50,0.5,1000.0,0.01,0.3
20,5.636363636363637,2.0,0.7728028156554142,0.21666633518271114,0.030641246972506496,50,0.5,1000.0,0.01,0.3
20,5.696969696969697,2.0,0.7754944004566003,0.21480969744696635,0.0303786787458761,50,0.5,1000.0,0.01,0.3
20,5.757575757575758,2.0,0.7769906055726972,0.21512824465546168,0.03042372812412712,50,0.5,1000.0,0.01,0.3
20,5.818181818181818,2.0,0.7793335696991768,0.21360004695760593,0.030207608333097626,50,0.5,1000.0,0.01,0.3
20,5.878787878787879,2.0,0.7818830692508442,0.21214282628572564,0.030001526209343272,50,0.5,1000.0,0.01,0.3
20,5.9393939393939394,2.0,0.7842840094605773,0.21119384029240737,0.02986731932311799,50,0.5,1000.0,0.01,0.3
20,6.0,2.0,0.7862889775387915,0.20993121144910656,0.029688756639674047,50,0.5,1000.0,0.01,0.3
40,0.0,2.0,0.30070593832661624,0.0724082857878234,0.010240077978932689,50,0.5,1000.0,0.01,0.3
40,0.06060606060606061,2.0,0.3008012326936219,0.07227984037965061,0.010221913055106438,50,0.5,1000.0,0.01,0.3
40,0.12121212121212122,2.0,0.3005885316845265,0.07241362422794258,0.010240832948374533,50,0.5,1000.0,0.01,0.3
40,0.18181818181818182,2.0,0.30069236839617375,0.07264911779624945,0.010274136768189656,50,0.5,1000.0,0.01,0.3
40,0.24242424242424243,2.0,0.30114969620220866,0.07290481918661511,0.010310298405606932,50,0.5,1000.0,0.01,0.3
40,0.30303030303030304,2.0,0.30170218405444593,0.07315839079513947,0.010346158846387723,50,0.5,1000.0,0.01,0.3
40,0.36363636363636365,2.0,0.3022373298065793,0.07351782864898261,0.010396991035161248,50,0.5,1000.0,0.01,0.3
40,0.42424242424242425,2.0,0.30306190012039275,0.07414998891564133,0.010486391997431463,50,0.5,1000.0,0.01,0.3
40,0.48484848484848486,2.0,0.30424102216527255,0.07501986064473483,0.01060941043711236,50,0.5,1000.0,0.01,0.3
40,0.5454545454545454,2.0,0.30569410901493754,0.07614492649755397,0.010768518775874328,50,0.5,1000.0,0.01,0.3
40,0.6060606060606061,2.0,0.30729484823681524,0.07685514812634651,0.010868959281847241,50,0.5,1000.0,0.01,0.3
40,0.6666666666666667,2.0,0.309440463033827,0.07820998397865427,0.011060562005559533,50,0.5,1000.0,0.01,0.3
40,0.7272727272727273,2.0,0.31148311973461223,0.07973928292545206,0.011276837536707966,50,0.5,1000.0,0.01,0.3
40,0.7878787878787878,2.0,0.3141374073231232,0.08140344557451136,0.011512185675537407,50,0.5,1000.0,0.01,0.3
40,0.8484848484848485,2.0,0.3163176841351979,0.08308894308696262,0.011750551019682875,50,0.5,1000.0,0.01,0.3
40,0.9090909090909092,2.0,0.3193776605416834,0.08422055705515555,0.011910585401801803,50,0.5,1000.0,0.01,0.3
40,0.9696969696969697,2.0,0.3232244002652838,0.08565247032534112,0.012113088518485648,50,0.5,1000.0,0.01,0.3
40,1.0303030303030303,2.0,0.3297724357095897,0.08814936047794156,0.012466202110241983,50,0.5,1000.0,0.01,0.3
40,1.0909090909090908,2.0,0.33516716042430145,0.09158094474334119,0.012951501411097412,50,0.5,1000.0,0.01,0.3
40,1.1515151515151516,2.0,0.3420110218554103,0.09356322894903377,0.013231838731914252,50,0.5,1000.0,0.01,0.3
40,1.2121212121212122,2.0,0.3496964072203397,0.0955854704749564,0.013517826871149639,50,0.5,1000.0,0.01,0.3
40,1.2727272727272727,2.0,0.3570824034678212,0.09837877318909363,0.013912859529364283,50,0.5,1000.0,0.01,0.3
40,1.3333333333333335,2.0,0.3624144834047688,0.09923134233640628,0.014033431014463324,50,0.5,1000.0,0.01,0.3
40,1.393939393939394,2.0,0.3692389729810978,0.09933450711641456,0.014048020717568018,50,0.5,1000.0,0.01,0.3
40,1.4545454545454546,2.0,0.37540945069127246,0.10214713872453163,0.01444578689418386,50,0.5,1000.0,0.01,0.3
40,1.5151515151515151,2.0,0.38350503599064845,0.10252985440183111,0.014499911064320834,50,0.5,1000.0,0.01,0.3
40,1.5757575757575757,2.0,0.39270953152894633,0.10374924127784023,0.014672358410104018,50,0.5,1000.0,0.01,0.3
40,1.6363636363636365,2.0,0.40303771332701616,0.10391702127431485,0.01469608608475495,50,0.5,1000.0,0.01,0.3
40,1.696969696969697,2.0,0.41271779282892956,0.10536886370058815,0.014901407609721386,50,0.5,1000.0,0.01,0.3
40,1.7575757575757576,2.0,0.4201856395247261,0.10623701834584674,0.015024183217077576,50,0.5,1000.0,0.01,0.3
40,1.8181818181818183,2.0,0.426584933561366,0.10823103815425081,0.01530618020274614,50,0.5,1000.0,0.01,0.3
40,1.878787878787879,2.0,0.43368157738600827,0.11136074537052562,0.015748787641897417,50,0.5,1000.0,0.01,0.3
40,1.9393939393939394,2.0,0.44494954857578406,0.10796247898648739,0.015268200201011075,50,0.5,1000.0,0.01,0.3
40,2.0,2.0,0.4540436551204398,0.11038282102348747,0.015610488254441798,50,0.5,1000.0,0.01,0.3
40,2.0606060606060606,2.0,0.4636148295487264,0.10850639369609216,0.015345121356920803,50,0.5,1000.0,0.01,0.3
40,2.121212121212121,2.0,0.47159487041598325,0.10630889924717578,0.015034348711631089,50,0.5,1000.0,0.01,0.3
40,2.1818181818181817,2.0,0.4814435746972794,0.10431438893077605,0.014752282357656535,50,0.5,1000.0,0.01,0.3
40,2.2424242424242427,2.0,0.49015429409207995,0.10543023572676076,0.014910086924897748,50,0.5,1000.0,0.01,0.3
40,2.303030303030303,2.0,0.5000752910447713,0.10411441810686581,0.014724002212531256,50,0.5,1000.0,0.01,0.3
40,2.3636363636363638,2.0,0.5088949192888278,0.10116533580219382,0.014306938993349094,50,0.5,1000.0,0.01,0.3
40,2.4242424242424243,2.0,0.5180732727356072,0.09863186077703286,0.013948651519297478,50,0.5,1000.0,0.01,0.3
40,2.484848484848485,2.0,0.5292876843562939,0.09872133225093427,0.013961304696481167,50,0.5,1000.0,0.01,0.3
40,2.5454545454545454,2.0,0.5379720448786312,0.09548956277900203,0.013504263474714175,50,0.5,1000.0,0.01,0.3
40,2.606060606060606,2.0,0.5458729868732461,0.09531471313859975,0.01347953600143088,50,0.5,1000.0,0.01,0.3
40,2.666666666666667,2.0,0.5532043869694059,0.0971039111175717,0.013732566806194146,50,0.5,1000.0,0.01,0.3
40,2.7272727272727275,2.0,0.5628146531298467,0.09656910913815935,0.013656934384947254,50,0.5,1000.0,0.01,0.3
40,2.787878787878788,2.0,0.5698211909815908,0.09620907989488217,0.013606018561077902,50,0.5,1000.0,0.01,0.3
40,2.8484848484848486,2.0,0.5779724652715058,0.09616236848429559,0.01359941257004099,50,0.5,1000.0,0.01,0.3
40,2.909090909090909,2.0,0.5849765493617023,0.09472177934850065,0.013395682500676137,50,0.5,1000.0,0.01,0.3
40,2.9696969696969697,2.0,0.5917435096167889,0.09433414414899098,0.013340862605036159,50,0.5,1000.0,0.01,0.3
40,3.0303030303030303,2.0,0.5977637004183028,0.09475854616170787,0.013400882113264425,50,0.5,1000.0,0.01,0.3
40,3.090909090909091,2.0,0.6057484098453869,0.09555962268476854,0.013514171441605534,50,0.5,1000.0,0.01,0.3
40,3.1515151515151514,2.0,0.6118121614980282,0.0936382825374807,0.013242452912182895,50,0.5,1000.0,0.01,0.3
40,3.2121212121212124,2.0,0.6189947708145073,0.09453821802153806,0.013369723008864366,50,0.5,1000.0,0.01,0.3
40,3.272727272727273,2.0,0.626896565851682,0.0926313230132061,0.013100047330583906,50,0.5,1000.0,0.01,0.3
40,3.3333333333333335,2.0,0.6336415030386313,0.0934895494685773,0.013221418879861238,50,0.5,1000.0,0.01,0.3
40,3.393939393939394,2.0,0.6402825897380078,0.09141874229575932,0.012928562520975372,50,0.5,1000.0,0.01,0.3
40,3.4545454545454546,2.0,0.6453765062885738,0.0911003239523824,0.012883531367004172,50,0.5,1000.0,0.01,0.3
40,3.515151515151515,2.0,0.6529032590997409,0.08996265155506157,0.012722640193621309,50,0.5,1000.0,0.01,0.3
40,3.5757575757575757,2.0,0.6588183327845697,0.08967203907511698,0.012681541382568055,50,0.5,1000.0,0.01,0.3
40,3.6363636363636367,2.0,0.6665029277078192,0.08785123124135197,0.012424040269269491,50,0.5,1000.0,0.01,0.3
40,3.6969696969696972,2.0,0.6734294472916392,0.08738003307071028,0.012357402784920804,50,0.5,1000.0,0.01,0.3
40,3.757575757575758,2.0,0.6786833042735532,0.08765011871776647,0.012395598663427721,50,0.5,1000.0,0.01,0.3
40,3.8181818181818183,2.0,0.6858406810372343,0.08695985124970046,0.012297980101927333,50,0.5,1000.0,0.01,0.3
40,3.878787878787879,2.0,0.6923528118259737,0.0875462417555613,0.012380908242550856,50,0.5,1000.0,0.01,0.3
40,3.9393939393939394,2.0,0.6970272976497373,0.08635828938443915,0.012212906407081432,50,0.5,1000.0,0.01,0.3
40,4.0,2.0,0.7022312482855164,0.08555355787792543,0.012099100186023368,50,0.5,1000.0,0.01,0.3
